Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
21,1,7.8425108208321035,"(1.7174620521655442, 122.27271895841704)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 42.68923815291417)",e2_0,-0.9139995175646618
21,2,9.941397520946339,"(-19.3647608028178, 119.67762543490068)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('ev_0', 45.52926137569409)",e2_1,1.3372282603522763
21,3,6.725912947556935,"(-43.141376817141214, 105.997459395561)","('e1', 'e2')","('4', 15.537096568600361)",e1_0,-0.6689157603541389
21,4,8.258887328304862,"(-59.28051189046698, 89.56205612786118)","('e1', 'e2')","('', -1.0)",e1_0,2.317374589270912
21,ev_0,14.202013760281133,"(-62.18789331503048, 91.30842972077357)","('e1', 'e2')","('', -1.0)",e1_1,3.166203060594725
22,0,9.570461567258462,"(50.592778001681666, 121.79606242188848)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 39.49424937181173)",e3_0,0.6967625705292448
22,1,6.9291295383591205,"(8.37989665462203, 124.17613059354436)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 40.661689213575286)",e2_0,-0.913381282472983
22,2,7.741397520946339,"(-11.9224251105495, 121.80416471114637)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('ev_0', 40.562564692855545)",e2_1,-2.2
22,3,8.956678477698006,"(-37.92809960276433, 110.9462553099293)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 18.4348877179935)",e2_0,2.2307655301410705
22,4,6.058887328304862,"(-55.03582763981121, 93.8846605974702)","('e1', 'e2')","('', -1.0)",e1_0,-2.2
22,ev_0,12.708094203784892,"(-53.283312886969206, 100.37479155075364)","('e1', 'e2')","('', -1.0)",e1_1,-1.493919556496241
23,0,8.854448360390961,"(58.772619042695894, 118.40666068787704)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 38.473813991644406)",e3_0,-0.7160132068675011
