Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
26,car2.0,5.881896869850315,"(90.28622821719836, 93.49600619902878)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",:J2_0_1,-2.2
27,car1.0,5.674573865041509,"(91.1726667151366, 45.53887514995387)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 35.344313371366674)",:J3_0_1,-0.9309180440723415
27,car2.0,5.163735872239776,"(90.4056960263399, 88.35574692024406)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E2_1,-0.7181609976105383
28,car1.0,4.464086800601706,"(88.43141325645949, 42.13278172107147)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,-1.2104870644398034
28,car2.0,8.303689888434455,"(87.39498444100097, 79.9767199832781)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E2_0,3.139954016194679
29,car1.0,4.511119422058016,"(84.98218437770522, 39.22522428107314)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,0.04703262145631015
29,car2.0,9.746647176376655,"(87.61716607555924, 70.23426491321388)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E2_0,1.4429572879421997
30,car1.0,6.076790353886224,"(80.33583414448583, 35.30854299829491)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,1.5656709318282083
30,car2.0,7.628061930568689,"(87.79105307870769, 62.60948386949703)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E2_0,-2.1185852458079655
31,car1.0,8.02513866512794,"(74.19976514475654, 30.136090343036663)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,1.9483483112417161
31,car2.0,6.647416675758839,"(87.94258558787553, 55.96492629768476)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E2_0,-0.9806452548098505
32,car1.0,9.044723728692531,"(67.2841153100803, 24.306483252277808)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,1.019585063564591
32,car2.0,5.629910849749402,"(88.07092334057948, 50.33743691496751)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E2_0,-1.0175058260094367
33,car1.0,11.240404745748764,"(58.68963464340894, 17.061691130994426)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,2.1956810170562324
33,car2.0,3.429910849749402,"(88.14911055564905, 46.90900129569112)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E2_0,-2.2
34,car1.0,9.137408423608669,"(51.70311753690652, 11.1723458579654)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,-2.102996322140095
34,car2.0,1.9239746991939026,"(87.24213744732582, 45.31676624002698)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,-1.5059361505554993
35,car1.0,8.936244673885902,"(44.870411436051505, 5.412656907999882)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_1,-0.20116374972276674
35,car2.0,3.241168280567333,"(84.76392080345452, 43.22773199669256)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,1.3171935813734303
36,car1.0,6.736244673885902,"(39.60896620675354, 4.028934874302918)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,-2.2
36,car2.0,5.412119272833049,"(80.6257820523855, 39.73945199662439)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,2.170950992265716
37,car1.0,9.00624786438284,"(30.526183616654805, 7.003692045836244)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 51.94937788175274)",E4_0,2.2700031904969373
