leader,leader speed,follower,follwer speed,headway
car1.0,3.4922068050954493,car1.1,5.801060003897424,3.710913202699402
car1.0,4.067848605628498,car1.1,3.6010600038974254,None
car1.0,4.625110135589168,car1.1,4.122275205029476,4.680536734990156
car1.0,5.078176402662322,car1.1,3.8564130000000003,5.902300137652475
car1.0,5.139740566782095,car1.1,3.8564130000000003,7.1856277044345696
car1.0,6.049425430771336,car1.1,5.821369612666253,7.413683522539653
car1.0,8.481509292906523,car1.1,6.503844794694109,9.391348020752067
car1.0,11.359946813493409,car1.1,8.708718974867908,12.042575859377568
car1.0,11.747920366412401,car1.1,11.473551654474102,12.316944571315865
car1.0,12.846168946824594,car1.1,11.842591067229646,13.320522450910815
car1.0,10.646168946824595,car1.1,12.92506119750563,11.04163020022979
car1.0,8.446168946824596,car1.1,10.725061197505635,8.76273794954875
car1.0,6.246168946824596,car1.1,8.525061197505636,6.483845698867711
car1.0,4.9075401470070545,car1.1,6.325061197505636,5.066324648369132
car1.0,4.016639022856392,car1.1,4.960134980794414,4.12282869043112
car1.0,6.604744269746728,car1.1,4.0692338566437485,6.6583391035341
car1.0,8.62794581742622,car1.1,5.348036625852274,9.938248295108048
car1.0,10.477832462756336,car1.1,4.044073,16.372007757864385
car1.0,11.9152165070422,car1.1,7.544073,20.743151264906587
car1.0,13.67515389924068,car1.1,11.044073000000001,23.37423216414726
car1.0,13.755800213549659,car1.1,14.544073000000001,22.585959377696923
car1.0,15.785111963517405,car1.1,15.017108665570696,23.353962675643636
car1.0,18.285244448810257,car1.1,16.731093302533182,24.908113821920708
car1.0,16.085244448810258,car1.1,19.021007712489194,21.97235055824177
car1.0,14.37902609600108,car1.1,16.821007712489198,19.530368941753636
car1.0,12.179026096001081,car1.1,15.114789359680017,16.5946056780747
car1.0,10.189215416264535,car1.1,12.914789359680018,13.869031734659217
car1.0,8.736169263733364,car1.1,10.924978679943472,11.680222318449097
car1.0,6.536169263733364,car1.1,9.337546021929837,8.878845560252643
car1.0,4.336169263733364,car1.1,7.137546021929843,6.07746880205616
car1.0,2.136169263733364,car1.1,4.937546021929843,3.276092043859677
car1.0,3.8533006642142302,car1.1,2.737546021929843,None
car1.0,7.223089346302486,car1.1,4.122073675179154,7.4928623572673985
car1.0,9.173489955825545,car1.1,4.0065409999999995,12.659811313092945
car1.0,10.775113161410019,car1.1,7.5065409999999995,15.928383474502965
car1.0,11.407852008229867,car1.1,11.006540999999999,16.329694482732833
car1.0,12.32287343247831,car1.1,12.227992420647029,16.424575494564117
car1.0,10.122873432478311,car1.1,13.00632377615928,13.541125150883154
car1.0,7.922873432478311,car1.1,10.806323776159282,10.657674807202184
car1.0,5.722873432478311,car1.1,8.606323776159282,7.774224463521207
car1.0,6.425198973887973,car1.1,6.406323776159282,7.793099661249897
car1.0,4.225198973887973,car1.1,6.810624402256461,5.207674232881402
car1.0,6.428227662328072,car1.1,4.610624402256461,7.025277492953013
car1.0,7.3958808926263835,car1.1,4.152516114918612,10.268642270660784
car1.0,9.558058493174986,car1.1,3.903328,15.923372763835768
car1.0,11.647136862026901,car1.1,7.403328,20.167181625862668
car1.0,13.76272529039744,car1.1,10.903328,23.02657891626011
car1.0,11.562725290397442,car1.1,14.403328,20.185976206657557
car1.0,10.152856625156112,car1.1,12.999767109774128,17.339065722039535
car1.0,7.9528566251561115,car1.1,11.491582037110664,13.80034031008499
car1.0,5.752856625156111,car1.1,9.291582037110665,10.261614898130446
car1.0,3.552856625156111,car1.1,7.091582037110667,6.722889486175887
car1.0,3.645668090885139,car1.1,4.891582037110667,5.47697553995036
car1.0,4.77907712266837,car1.1,4.507214543611833,5.7488381190068925
car1.0,5.707246664777031,car1.1,3.8939450000000004,7.5621397837839215
car1.0,8.125546793668164,car1.1,3.8939450000000004,11.793741577452087
car1.0,10.781674091220466,car1.1,7.393945,15.181470668672553
car1.0,10.449317366031558,car1.1,10.893945,14.736843034704108
car1.0,8.249317366031558,car1.1,11.255518749805058,11.730641650930615
car1.0,7.512669459608123,car1.1,9.055518749805058,10.187792360733674
car1.0,7.887614550355451,car1.1,8.18120018488951,9.894206726199613
car1.0,6.510828834849038,car1.1,8.38901259431649,8.016022966732159
car1.0,4.310828834849038,car1.1,6.909170159107559,5.417681642473639
car1.0,5.826730392484554,car1.1,4.7091701591075585,6.535241875850634
car1.0,9.295983753593266,car1.1,5.498007601140145,10.333218028303754
car1.0,9.946638263838924,car1.1,4.025307,16.25454929214268
